name,public,private,tract
"Census Tract 1, New York County, New York",0,0,1000100
"Census Tract 2.01, New York County, New York",141,0,1000201
"Census Tract 2.02, New York County, New York",255,32,1000202
"Census Tract 5, New York County, New York",0,0,1000500
"Census Tract 6, New York County, New York",462,0,1000600
"Census Tract 7, New York County, New York",118,0,1000700
"Census Tract 8, New York County, New York",374,33,1000800
"Census Tract 9, New York County, New York",24,0,1000900
"Census Tract 10.01, New York County, New York",23,6,1001001
"Census Tract 10.02, New York County, New York",313,0,1001002
"Census Tract 12, New York County, New York",64,17,1001200
"Census Tract 13, New York County, New York",61,12,1001300
"Census Tract 14.01, New York County, New York",82,7,1001401
"Census Tract 14.02, New York County, New York",56,38,1001402
"Census Tract 15.01, New York County, New York",22,18,1001501
"Census Tract 15.02, New York County, New York",92,12,1001502
"Census Tract 16, New York County, New York",128,17,1001600
"Census Tract 18, New York County, New York",113,0,1001800
"Census Tract 20, New York County, New York",227,15,1002000
"Census Tract 21, New York County, New York",81,120,1002100
"Census Tract 22.01, New York County, New York",287,0,1002201
"Census Tract 22.02, New York County, New York",40,32,1002202
"Census Tract 24, New York County, New York",132,28,1002400
"Census Tract 25, New York County, New York",253,7,1002500
"Census Tract 26.01, New York County, New York",172,51,1002601
"Census Tract 26.02, New York County, New York",37,15,1002602
"Census Tract 27, New York County, New York",97,0,1002700
"Census Tract 28, New York County, New York",297,40,1002800
"Census Tract 29, New York County, New York",122,14,1002900
"Census Tract 30.01, New York County, New York",90,0,1003001
"Census Tract 30.02, New York County, New York",43,0,1003002
"Census Tract 31, New York County, New York",20,0,1003100
"Census Tract 32, New York County, New York",32,23,1003200
"Census Tract 33, New York County, New York",41,128,1003300
"Census Tract 34, New York County, New York",47,9,1003400
"Census Tract 36.01, New York County, New York",118,25,1003601
"Census Tract 36.02, New York County, New York",0,0,1003602
"Census Tract 37, New York County, New York",35,0,1003700
"Census Tract 38, New York County, New York",83,3,1003800
"Census Tract 39, New York County, New York",94,143,1003900
"Census Tract 40, New York County, New York",0,19,1004000
