NAME,Total,Male (Public),Male (Private),Female (Public),Female (Private),state,county,tract
"Census Tract 1, New York County, New York",0,0,0,0,0,36,061,1000100
"Census Tract 2.01, New York County, New York",141,23,0,118,0,36,061,1000201
"Census Tract 2.02, New York County, New York",287,172,0,83,32,36,061,1000202
"Census Tract 5, New York County, New York",0,0,0,0,0,36,061,1000500
"Census Tract 6, New York County, New York",462,277,0,185,0,36,061,1000600
"Census Tract 7, New York County, New York",118,118,0,0,0,36,061,1000700
"Census Tract 8, New York County, New York",407,222,0,152,33,36,061,1000800
"Census Tract 9, New York County, New York",24,13,0,11,0,36,061,1000900
"Census Tract 10.01, New York County, New York",29,5,6,18,0,36,061,1001001
"Census Tract 10.02, New York County, New York",313,243,0,70,0,36,061,1001002
"Census Tract 12, New York County, New York",81,46,8,18,9,36,061,1001200
"Census Tract 13, New York County, New York",73,25,12,36,0,36,061,1001300
"Census Tract 14.01, New York County, New York",89,9,0,73,7,36,061,1001401
"Census Tract 14.02, New York County, New York",94,0,38,56,0,36,061,1001402
"Census Tract 15.01, New York County, New York",40,22,18,0,0,36,061,1001501
"Census Tract 15.02, New York County, New York",104,68,0,24,12,36,061,1001502
"Census Tract 16, New York County, New York",145,40,17,88,0,36,061,1001600
"Census Tract 18, New York County, New York",113,69,0,44,0,36,061,1001800
"Census Tract 20, New York County, New York",242,126,15,101,0,36,061,1002000
"Census Tract 21, New York County, New York",201,53,65,28,55,36,061,1002100
"Census Tract 22.01, New York County, New York",287,95,0,192,0,36,061,1002201
"Census Tract 22.02, New York County, New York",72,13,32,27,0,36,061,1002202
"Census Tract 24, New York County, New York",160,113,18,19,10,36,061,1002400
"Census Tract 25, New York County, New York",260,128,7,125,0,36,061,1002500
"Census Tract 26.01, New York County, New York",223,75,35,97,16,36,061,1002601
"Census Tract 26.02, New York County, New York",52,37,15,0,0,36,061,1002602
"Census Tract 27, New York County, New York",97,42,0,55,0,36,061,1002700
"Census Tract 28, New York County, New York",337,173,0,124,40,36,061,1002800
"Census Tract 29, New York County, New York",136,110,14,12,0,36,061,1002900
"Census Tract 30.01, New York County, New York",90,16,0,74,0,36,061,1003001
"Census Tract 30.02, New York County, New York",43,7,0,36,0,36,061,1003002
"Census Tract 31, New York County, New York",20,20,0,0,0,36,061,1003100
"Census Tract 32, New York County, New York",55,17,23,15,0,36,061,1003200
"Census Tract 33, New York County, New York",169,41,90,0,38,36,061,1003300
"Census Tract 34, New York County, New York",56,21,0,26,9,36,061,1003400
"Census Tract 36.01, New York County, New York",143,90,14,28,11,36,061,1003601
"Census Tract 36.02, New York County, New York",0,0,0,0,0,36,061,1003602
"Census Tract 37, New York County, New York",35,19,0,16,0,36,061,1003700
"Census Tract 38, New York County, New York",86,28,0,55,3,36,061,1003800
"Census Tract 39, New York County, New York",237,22,81,72,62,36,061,1003900
"Census Tract 40, New York County, New York",19,0,0,0,19,36,061,1004000
"Census Tract 41, New York County, New York",287,128,0,137,22,36,061,1004100
"Census Tract 42, New York County, New York",45,36,0,9,0,36,061,1004200
