NAME,Total,"<$10,000","$10,000-$14,999","$15,000-$19,999","$20,000-$24,999","$25,000-$29,999","$30,000-$34,999","$35,000-$39,999","$40,000-$44,999","$45,000-$49,999","$50,000-$59,999","$60,000-$74,999","$75,000-$99,999","$100,000-$124,999","$125,000-$149,999","$150,000-$199,999","$200,000+",state,county,tract
"Census Tract 1, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,061,1000100
"Census Tract 2.01, New York County, New York",978,248,101,114,97,113,45,57,42,13,43,38,19,16,12,0,20,36,061,1000201
"Census Tract 2.02, New York County, New York",3541,603,166,233,372,302,192,197,76,177,114,414,98,180,36,209,172,36,061,1000202
"Census Tract 5, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,061,1000500
"Census Tract 6, New York County, New York",4161,1011,823,384,237,226,132,93,182,142,304,219,75,201,109,0,23,36,061,1000600
"Census Tract 7, New York County, New York",4511,352,80,92,77,0,38,101,44,22,228,238,567,509,482,512,1169,36,061,1000700
"Census Tract 8, New York County, New York",3431,352,416,433,278,171,229,232,72,156,226,292,260,128,75,73,38,36,061,1000800
"Census Tract 9, New York County, New York",843,25,5,9,0,13,0,25,15,5,37,22,47,99,66,147,328,36,061,1000900
"Census Tract 10.01, New York County, New York",790,62,42,24,59,25,33,6,15,9,43,75,94,71,56,60,116,36,061,1001001
"Census Tract 10.02, New York County, New York",2389,420,648,265,169,45,174,177,202,24,86,70,62,14,27,0,6,36,061,1001002
"Census Tract 12, New York County, New York",1870,283,157,126,61,34,74,122,55,0,109,63,199,170,133,83,201,36,061,1001200
"Census Tract 13, New York County, New York",2470,117,62,0,21,0,24,0,38,11,205,145,215,422,287,224,699,36,061,1001300
"Census Tract 14.01, New York County, New York",1676,68,107,38,38,87,53,110,0,40,76,219,119,123,137,105,356,36,061,1001401
"Census Tract 14.02, New York County, New York",1378,222,159,118,149,79,33,12,43,14,41,99,97,62,78,84,88,36,061,1001402
"Census Tract 15.01, New York County, New York",3693,378,171,192,195,109,88,66,70,114,167,146,312,333,198,410,744,36,061,1001501
"Census Tract 15.02, New York County, New York",3138,134,30,13,53,33,10,17,13,20,29,165,386,329,397,536,973,36,061,1001502
"Census Tract 16, New York County, New York",2899,333,423,252,239,31,72,56,87,164,92,374,369,88,58,49,212,36,061,1001600
