name,mean_income,tract
"Census Tract 1, New York County, New York",0.0,1000100
"Census Tract 2.01, New York County, New York",31526.0736196319,1000201
"Census Tract 2.02, New York County, New York",56106.32589663937,1000202
"Census Tract 5, New York County, New York",0.0,1000500
"Census Tract 6, New York County, New York",32992.67003124249,1000600
"Census Tract 7, New York County, New York",132486.14497894037,1000700
"Census Tract 8, New York County, New York",44880.50131157097,1000800
"Census Tract 9, New York County, New York",163801.89798339264,1000900
"Census Tract 10.01, New York County, New York",96800.6329113924,1001001
"Census Tract 10.02, New York County, New York",26606.32063624948,1001002
"Census Tract 12, New York County, New York",78639.03743315508,1001200
"Census Tract 13, New York County, New York",139883.6032388664,1001300
"Census Tract 14.01, New York County, New York",109046.83770883054,1001401
"Census Tract 14.02, New York County, New York",62792.089985486215,1001402
"Census Tract 15.01, New York County, New York",107575.14216084484,1001501
"Census Tract 15.02, New York County, New York",153280.75207138306,1001502
"Census Tract 16, New York County, New York",60559.67575025871,1001600
"Census Tract 18, New York County, New York",79866.18589743589,1001800
"Census Tract 20, New York County, New York",21934.782608695652,1002000
"Census Tract 21, New York County, New York",194866.98250728863,1002100
"Census Tract 22.01, New York County, New York",53213.80920613743,1002201
"Census Tract 22.02, New York County, New York",94236.30454967503,1002202
"Census Tract 24, New York County, New York",40417.059377945334,1002400
"Census Tract 25, New York County, New York",26208.84520884521,1002500
"Census Tract 26.01, New York County, New York",78008.5281111813,1002601
"Census Tract 26.02, New York County, New York",95561.85080264401,1002602
"Census Tract 27, New York County, New York",92476.07655502393,1002700
"Census Tract 28, New York County, New York",58758.136094674555,1002800
"Census Tract 29, New York County, New York",53175.142481367824,1002900
"Census Tract 30.01, New York County, New York",96591.30060292852,1003001
"Census Tract 30.02, New York County, New York",69948.8345650938,1003002
"Census Tract 31, New York County, New York",158851.35135135136,1003100
"Census Tract 32, New York County, New York",83475.82226094532,1003200
"Census Tract 33, New York County, New York",165817.843866171,1003300
"Census Tract 34, New York County, New York",95753.03643724696,1003400
"Census Tract 36.01, New York County, New York",78380.75880758808,1003601
"Census Tract 36.02, New York County, New York",95546.63608562692,1003602
"Census Tract 37, New York County, New York",150958.82789317507,1003700
"Census Tract 38, New York County, New York",79727.82844944693,1003800
"Census Tract 39, New York County, New York",151639.77449455677,1003900
"Census Tract 40, New York County, New York",113234.41108545035,1004000
"Census Tract 41, New York County, New York",99693.24712643678,1004100
"Census Tract 42, New York County, New York",144815.73705179282,1004200
"Census Tract 43, New York County, New York",92961.83868169991,1004300
"Census Tract 44, New York County, New York",105584.26270136307,1004400
"Census Tract 45, New York County, New York",143215.18987341772,1004500
"Census Tract 47, New York County, New York",130309.98389694042,1004700
"Census Tract 48, New York County, New York",126253.70919881306,1004800
"Census Tract 49, New York County, New York",121021.6150081566,1004900
"Census Tract 50, New York County, New York",143618.87477313975,1005000
"Census Tract 52, New York County, New York",159943.70860927153,1005200
"Census Tract 54, New York County, New York",149827.9860842675,1005400
"Census Tract 55.01, New York County, New York",144784.3992248062,1005501
"Census Tract 55.02, New York County, New York",141348.65366759518,1005502
"Census Tract 56, New York County, New York",135681.95354377606,1005600
"Census Tract 57, New York County, New York",150452.57284562927,1005700
"Census Tract 58, New York County, New York",155896.8996062992,1005800
"Census Tract 59, New York County, New York",135551.19453924915,1005900
"Census Tract 60, New York County, New York",132405.60165975103,1006000
"Census Tract 61, New York County, New York",138339.6860986547,1006100
"Census Tract 62, New York County, New York",117311.8479880775,1006200
"Census Tract 63, New York County, New York",132590.62414826927,1006300
"Census Tract 64, New York County, New York",124299.18680822228,1006400
"Census Tract 65, New York County, New York",115577.17041800643,1006500
"Census Tract 66, New York County, New York",95189.55316830141,1006600
"Census Tract 67, New York County, New York",125089.23076923077,1006700
"Census Tract 68, New York County, New York",137536.65283540802,1006800
"Census Tract 69, New York County, New York",175068.0693069307,1006900
"Census Tract 70, New York County, New York",117181.9587628866,1007000
"Census Tract 71, New York County, New York",136825.4913639071,1007100
"Census Tract 72, New York County, New York",116130.69989395546,1007200
"Census Tract 73, New York County, New York",123350.80645161291,1007300
"Census Tract 74, New York County, New York",137854.4528134692,1007400
"Census Tract 75, New York County, New York",138361.34453781514,1007500
"Census Tract 76, New York County, New York",116744.67099165895,1007600
"Census Tract 77, New York County, New York",134048.92836999436,1007700
"Census Tract 78, New York County, New York",121604.4776119403,1007800
"Census Tract 79, New York County, New York",131016.93302891933,1007900
"Census Tract 80, New York County, New York",129334.50930083387,1008000
"Census Tract 81, New York County, New York",134299.8693379791,1008100
"Census Tract 82, New York County, New York",132887.8878878879,1008200
"Census Tract 83, New York County, New York",98156.65342601787,1008300
"Census Tract 84, New York County, New York",128377.2365805169,1008400
"Census Tract 86.01, New York County, New York",157605.58069381598,1008601
"Census Tract 86.02, New York County, New York",0.0,1008602
"Census Tract 86.03, New York County, New York",149279.73028197794,1008603
"Census Tract 87, New York County, New York",143772.27463312368,1008700
"Census Tract 88, New York County, New York",108383.99642378185,1008800
"Census Tract 89, New York County, New York",120203.30255681818,1008900
"Census Tract 90, New York County, New York",139013.7142857143,1009000
"Census Tract 91, New York County, New York",124303.45710627401,1009100
"Census Tract 92, New York County, New York",132555.40780141845,1009200
"Census Tract 93, New York County, New York",107551.55135864328,1009300
"Census Tract 94, New York County, New York",152321.42857142858,1009400
"Census Tract 95, New York County, New York",155759.80392156861,1009500
"Census Tract 96, New York County, New York",137216.49484536084,1009600
"Census Tract 97, New York County, New York",76582.94181423925,1009700
"Census Tract 98, New York County, New York",141244.16433239964,1009800
"Census Tract 99, New York County, New York",140479.72541507025,1009900
"Census Tract 100, New York County, New York",122720.33898305085,1010000
"Census Tract 101, New York County, New York",143042.13135068153,1010100
"Census Tract 102, New York County, New York",137584.26966292135,1010200
"Census Tract 103, New York County, New York",108549.91007194245,1010300
"Census Tract 104, New York County, New York",123460.20761245675,1010400
"Census Tract 106.01, New York County, New York",136319.50827205883,1010601
"Census Tract 106.02, New York County, New York",138579.42315970728,1010602
"Census Tract 108, New York County, New York",140968.5064251106,1010800
"Census Tract 109, New York County, New York",128445.94594594595,1010900
"Census Tract 110, New York County, New York",125512.60704091341,1011000
"Census Tract 111, New York County, New York",119555.84707646177,1011100
"Census Tract 112.01, New York County, New York",144745.7627118644,1011201
"Census Tract 112.02, New York County, New York",169801.82926829267,1011202
"Census Tract 112.03, New York County, New York",137441.0029498525,1011203
"Census Tract 113, New York County, New York",117301.58730158731,1011300
"Census Tract 114.01, New York County, New York",160762.71186440677,1011401
"Census Tract 114.02, New York County, New York",149138.23272090987,1011402
"Census Tract 115, New York County, New York",117367.06948640483,1011500
"Census Tract 116, New York County, New York",105408.16326530612,1011600
"Census Tract 117, New York County, New York",127481.56182212582,1011700
"Census Tract 118, New York County, New York",149945.31091756126,1011800
"Census Tract 119, New York County, New York",24750.51975051975,1011900
"Census Tract 120, New York County, New York",156139.48380010983,1012000
"Census Tract 121, New York County, New York",84002.67050123254,1012100
"Census Tract 122, New York County, New York",149716.03563474386,1012200
"Census Tract 124, New York County, New York",131622.3750232299,1012400
"Census Tract 125, New York County, New York",151165.97366597367,1012500
"Census Tract 126, New York County, New York",136271.73013245032,1012600
"Census Tract 127, New York County, New York",96260.48817696415,1012700
"Census Tract 128, New York County, New York",156043.1969220007,1012800
"Census Tract 129, New York County, New York",121965.0175644028,1012900
"Census Tract 130, New York County, New York",161480.2275189599,1013000
"Census Tract 131, New York County, New York",109921.96531791908,1013100
"Census Tract 132, New York County, New York",115471.12591833247,1013200
"Census Tract 133, New York County, New York",99886.16150836002,1013300
