NAME,Total,White,Black,Indigenous,Asian,Pacific Islander,Other,Multiracial,state,county,tract
"Census Tract 1, New York County, New York",0,0,0,0,0,0,0,0,36,061,1000100
"Census Tract 2.01, New York County, New York",2670,738,156,0,1331,0,445,0,36,061,1000201
"Census Tract 2.02, New York County, New York",8016,2903,1343,0,2192,0,1062,516,36,061,1000202
"Census Tract 5, New York County, New York",0,0,0,0,0,0,0,0,36,061,1000500
"Census Tract 6, New York County, New York",10765,1346,925,129,5940,0,2228,197,36,061,1000600
"Census Tract 7, New York County, New York",9008,6476,202,0,1943,0,231,156,36,061,1000700
"Census Tract 8, New York County, New York",9299,985,90,15,7803,8,269,129,36,061,1000800
"Census Tract 9, New York County, New York",1733,1292,51,0,221,6,91,72,36,061,1000900
"Census Tract 10.01, New York County, New York",1485,1091,43,0,111,0,87,153,36,061,1001001
"Census Tract 10.02, New York County, New York",5909,1290,1248,19,709,0,2492,151,36,061,1001002
"Census Tract 12, New York County, New York",3726,2131,113,0,773,0,500,209,36,061,1001200
"Census Tract 13, New York County, New York",4537,3104,122,0,956,0,123,232,36,061,1001300
"Census Tract 14.01, New York County, New York",3199,2454,28,0,545,0,47,125,36,061,1001401
"Census Tract 14.02, New York County, New York",2902,1125,141,0,870,0,565,201,36,061,1001402
"Census Tract 15.01, New York County, New York",6777,4345,379,15,1719,0,155,164,36,061,1001501
"Census Tract 15.02, New York County, New York",7747,5378,202,26,1826,0,119,196,36,061,1001502
"Census Tract 16, New York County, New York",7219,1266,156,0,5518,0,164,115,36,061,1001600
"Census Tract 18, New York County, New York",7991,2632,427,0,4402,0,351,179,36,061,1001800
"Census Tract 20, New York County, New York",4720,1066,1057,0,903,0,1527,167,36,061,1002000
"Census Tract 21, New York County, New York",6488,5089,99,0,998,0,21,281,36,061,1002100
"Census Tract 22.01, New York County, New York",6546,1973,1262,33,1524,0,1429,325,36,061,1002201
"Census Tract 22.02, New York County, New York",1937,1190,114,11,303,0,199,120,36,061,1002202
"Census Tract 24, New York County, New York",5126,1637,749,0,463,0,2090,187,36,061,1002400
"Census Tract 25, New York County, New York",5311,873,1350,0,2311,0,643,134,36,061,1002500
"Census Tract 26.01, New York County, New York",4139,1722,462,13,560,0,1109,273,36,061,1002601
"Census Tract 26.02, New York County, New York",4289,2568,161,46,826,41,379,268,36,061,1002602
"Census Tract 27, New York County, New York",1400,208,9,15,1068,0,13,87,36,061,1002700
"Census Tract 28, New York County, New York",7360,2901,1256,9,856,0,2135,203,36,061,1002800
"Census Tract 29, New York County, New York",6110,844,872,10,3799,0,229,356,36,061,1002900
"Census Tract 30.01, New York County, New York",4167,2669,91,0,757,0,272,378,36,061,1003001
"Census Tract 30.02, New York County, New York",2848,1734,343,7,442,29,273,20,36,061,1003002
"Census Tract 31, New York County, New York",2744,1862,231,8,539,0,8,96,36,061,1003100
"Census Tract 32, New York County, New York",7920,6302,240,3,1198,0,100,77,36,061,1003200
"Census Tract 33, New York County, New York",5030,4090,144,0,521,0,0,275,36,061,1003300
"Census Tract 34, New York County, New York",6222,4647,166,0,944,0,361,104,36,061,1003400
"Census Tract 36.01, New York County, New York",3401,1770,367,0,776,0,345,143,36,061,1003601
"Census Tract 36.02, New York County, New York",2883,1940,348,39,328,0,35,193,36,061,1003602
"Census Tract 37, New York County, New York",2663,2264,69,0,176,0,102,52,36,061,1003700
"Census Tract 38, New York County, New York",8429,6046,370,5,1061,0,669,278,36,061,1003800
"Census Tract 39, New York County, New York",5632,4399,291,0,358,0,162,422,36,061,1003900
"Census Tract 40, New York County, New York",9429,7321,596,0,1126,8,86,292,36,061,1004000
"Census Tract 41, New York County, New York",8336,3047,162,35,4644,0,192,256,36,061,1004100
"Census Tract 42, New York County, New York",5291,3938,312,0,927,0,0,114,36,061,1004200
"Census Tract 43, New York County, New York",4315,2752,33,0,1309,0,27,194,36,061,1004300
"Census Tract 44, New York County, New York",16039,12670,598,0,1702,0,466,603,36,061,1004400
"Census Tract 45, New York County, New York",932,635,2,0,244,0,12,39,36,061,1004500
"Census Tract 47, New York County, New York",2277,1927,0,0,211,0,0,139,36,061,1004700
"Census Tract 48, New York County, New York",7147,5053,343,23,1281,0,198,249,36,061,1004800
"Census Tract 49, New York County, New York",4562,3944,120,16,363,0,46,73,36,061,1004900
"Census Tract 50, New York County, New York",5174,4285,51,0,714,0,22,102,36,061,1005000
"Census Tract 52, New York County, New York",3852,2962,103,24,563,0,43,157,36,061,1005200
"Census Tract 54, New York County, New York",4626,3848,120,0,499,0,35,124,36,061,1005400
"Census Tract 55.01, New York County, New York",4705,3605,112,15,729,0,43,201,36,061,1005501
"Census Tract 55.02, New York County, New York",2214,1758,140,0,86,12,86,132,36,061,1005502
"Census Tract 56, New York County, New York",2983,2185,185,0,546,0,16,51,36,061,1005600
"Census Tract 57, New York County, New York",2844,2305,71,0,301,0,42,125,36,061,1005700
"Census Tract 58, New York County, New York",3509,2342,74,0,833,0,114,146,36,061,1005800
"Census Tract 59, New York County, New York",5543,4789,133,14,564,0,13,30,36,061,1005900
"Census Tract 60, New York County, New York",5423,4438,130,0,754,0,66,35,36,061,1006000
"Census Tract 61, New York County, New York",4811,4103,106,0,530,0,13,59,36,061,1006100
"Census Tract 62, New York County, New York",4417,2461,781,8,873,0,127,167,36,061,1006200
"Census Tract 63, New York County, New York",6286,5286,103,0,597,0,45,255,36,061,1006300
"Census Tract 64, New York County, New York",7929,5893,309,207,1020,0,125,375,36,061,1006400
"Census Tract 65, New York County, New York",6460,5255,228,0,528,0,125,324,36,061,1006500
"Census Tract 66, New York County, New York",11546,9395,317,28,1414,0,115,277,36,061,1006600
"Census Tract 67, New York County, New York",5271,4625,96,14,301,0,55,180,36,061,1006700
"Census Tract 68, New York County, New York",7636,5882,493,7,1067,0,79,108,36,061,1006800
"Census Tract 69, New York County, New York",2442,2031,49,0,237,0,41,84,36,061,1006900
"Census Tract 70, New York County, New York",8397,5582,353,0,2047,0,153,262,36,061,1007000
"Census Tract 71, New York County, New York",6038,4901,150,104,731,4,29,119,36,061,1007100
"Census Tract 72, New York County, New York",7002,4836,15,0,1854,0,0,297,36,061,1007200
"Census Tract 73, New York County, New York",5844,5177,83,0,271,0,287,26,36,061,1007300
"Census Tract 74, New York County, New York",3875,3168,84,0,442,0,73,108,36,061,1007400
"Census Tract 75, New York County, New York",4161,3757,22,0,267,0,51,64,36,061,1007500
"Census Tract 76, New York County, New York",1980,929,78,13,894,0,34,32,36,061,1007600
"Census Tract 77, New York County, New York",5872,5151,95,0,454,0,14,158,36,061,1007700
