DBN,School Name,Total Student Response Rate,"1a. This school offers a wide enough variety of programs, classes and activities to keep me interested in school.",,"1b. The programs, classes, and activities at this school encourage students to develop talent outside academics.",,1c. This school is kept clean.,,1d. Most students at this school treat each other with respect.,,"1e. At this school, students with disabilities are included in all school activities (lunch, class trips, etc.).",,1f. My teachers use examples of students’ different cultures/backgrounds/families in their lessons to make learning more meaningful for me.,,"1g. I see people of many races, ethnicities, cultures, and backgrounds represented in the curriculum.",,"1h. In general, my teachers treat students from different cultures or backgrounds equally.",,1i. I feel that my teachers respect my culture/background.,,"1j. In general, my teachers make their lessons relevant to my everyday life experiences.",,"1k. In general, my teachers present positive images of people from a variety of races, ethnicities, cultures, and backgrounds.",,2a. I learn a lot from feedback on my work.,,2b. It's clear what I need to do to get a good grade.,,2c. The work we do in class is good preparation for our class tests.,,2d. The homework assignments help me learn the course material.,,2e. I know what my teacher wants me to learn in class.,,3a. My teachers help me catch up if I am behind.,,3b. My teachers notice if I have trouble learning something.,,3c. My teachers give me specific suggestions about how I can improve my work in class.,,3d. My teachers explain things a different way if I don't understand something in class.,,3e. My teachers support me when I am upset.,,4a. I’m learning a lot in my classes at this school to prepare me for the next level or grade.,,4b. There is at least one adult in the school that I can confide in.,,4c. My teachers will always listen to students' ideas.,,4d. My teachers always do what they say they will do.,,4e. My teachers treat me with respect.,,"4f. When my teachers tell me not to do something, I know they have a good reason.",,4g. My classes at this school really make me think critically.,,4h. Discipline is applied fairly in my school.,,4i. School Safety Agents promote a safe and respectful environment at this school.,,5a. In how many of your classes are you challenged?,,5b. In how many of your classes do your teachers ask difficult questions on tests?,,5c. In how many of your classes do your teachers ask difficult questions in class?,,5d. In how many of your classes do you work in small groups?,,"5e. In how many of your classes do your teachers want students to become better thinkers, not just memorize things?",,6a. In how many of your classes at this school do YOU feel most students listen carefully when the teacher gives directions?,,6b. In how many of your classes at this school do YOU feel most students follow the rules in class?,,6c. In how many of your classes at this school do YOU feel most students pay attention when they are supposed to?,,6d. In how many of your classes at this school do YOU feel most students work when they are supposed to?,,6e. In how many of your classes at this school do YOU feel most students behave well even when the teacher isn't watching?,,6f. In how many of your classes at this school do YOU feel most students feel it is important to come to school every day?,,6g. In how many of your classes at this school do YOU feel most students feel it is important to pay attention in class?,,6h. In how many of your classes at this school do YOU feel most students think doing homework is important?,,6i. In how many of your classes at this school do YOU feel most students try hard to get good grades?,,7a. I feel safe outside around this school.,,7b. I feel safe traveling between home and this school.,,"7c. I feel safe in the hallways, bathrooms, locker rooms, and cafeteria of this school.",,7d. I feel safe in my classes at this school.,,"8a. At this school students harass, bully or intimidate other students.",,"8b. At this school students harass, bully, or intimidate each other because of their race, religion, ethnicity, national origin, or citizenship/immigration status. ",,"8c. At this school students harass, bully, or intimidate each other because of their gender, gender identity, gender expression, or sexual orientation.",,"8d. At this school students harass, bully, or intimidate each other because of other differences, like disability or weight.",,"8e. At this school students harass, bully, or intimidate each other online (through mobile phones, social media, email, or other forms of electronic communication). ",,8f. At this school students get into physical fights.,,"8g. At this school students drink alcohol, use illegal drugs, or abuse prescription drugs while at school.",,8h. At this school there is gang activity.,,9a.This school provides guidance for the application process for high school.,,9b. This school educates families about the application/enrollment process for high school.,,"10a. Adults at this school (including teachers, administrators, counselors, and the principal) talk to me about what I plan to do after high school.",,"10b. Adults at this school (including teachers, administrators, counselors, and the principal) encourage me to continue my education after high school.",,"10c. Adults at this school (including teachers, administrators, counselors, and the principal) provide me with information about the college application process.",,"10d.  Adults at this school (including teachers, administrators, counselors, and the principal) help me plan for how to meet my future career goals. ",,"11a. Adults at this school (including teachers, administrators, counselors, and the principal) help me consider which colleges to apply to.",,"11b. Adults at this school (including teachers, administrators, counselors, and the principal) show me options for how to pay for college (scholarship, grants, loans, work study programs, etc.).",
,,,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,None/a few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,None/A few,Most/All,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,None of the time/Rarely,Some of the time/Most of the time,None of the time/Rarely,Some of the time/Most of the time,None of the time/Rarely,Some of the time/Most of the time,None of the time/Rarely,Some of the time/Most of the time,None of the time/Rarely,Some of the time/Most of the time,None of the time/Rarely,Some of the time/Most of the time,None of the time/Rarely,Some of the time/Most of the time,None of the time/Rarely,Some of the time/Most of the time,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree,Strongly disagree/Disagree,Agree/Strongly agree
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01M034,P.S. 034 FRANKLIN D. ROOSEVELT,95%,35%,65%,34%,66%,66%,34%,73%,27%,18%,82%,18%,82%,14%,86%,16%,84%,7%,93%,27%,73%,14%,86%,39%,61%,18%,82%,27%,73%,34%,66%,25%,75%,39%,61%,41%,59%,39%,61%,39%,61%,54%,46%,14%,86%,23%,77%,28%,72%,38%,62%,15%,85%,39%,61%,31%,69%,41%,59%,29%,71%,51%,49%,45%,55%,48%,52%,35%,65%,30%,70%,44%,56%,42%,58%,42%,58%,36%,64%,58%,42%,43%,57%,37%,63%,43%,57%,33%,67%,19%,81%,9%,91%,25%,75%,13%,87%,31%,69%,42%,58%,48%,52%,40%,60%,52%,48%,36%,64%,76%,24%,69%,31%,15%,85%,14%,86%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M140,P.S. 140 NATHAN STRAUS,87%,43%,57%,30%,70%,63%,37%,58%,42%,10%,90%,25%,75%,6%,94%,14%,86%,6%,94%,31%,69%,9%,91%,41%,59%,20%,80%,22%,78%,43%,57%,22%,78%,37%,63%,31%,69%,26%,74%,34%,66%,43%,57%,16%,84%,16%,84%,20%,80%,34%,66%,13%,87%,19%,81%,36%,64%,35%,65%,17%,83%,41%,59%,38%,62%,47%,53%,41%,59%,21%,79%,41%,59%,47%,53%,49%,51%,42%,58%,59%,41%,43%,57%,40%,60%,50%,50%,33%,67%,29%,71%,17%,83%,19%,81%,15%,85%,42%,58%,57%,43%,68%,32%,55%,45%,45%,55%,45%,55%,88%,12%,76%,24%,12%,88%,11%,89%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M184,P.S. 184M SHUANG WEN,100%,34%,66%,38%,62%,38%,62%,50%,50%,13%,87%,23%,77%,17%,83%,9%,91%,8%,92%,22%,78%,9%,91%,38%,62%,15%,85%,19%,81%,28%,72%,15%,85%,29%,71%,35%,65%,31%,69%,33%,67%,50%,50%,13%,87%,20%,80%,21%,79%,35%,65%,11%,89%,16%,84%,24%,76%,28%,72%,21%,79%,47%,53%,52%,48%,53%,47%,37%,63%,19%,81%,31%,69%,27%,73%,32%,68%,28%,72%,57%,43%,30%,70%,31%,69%,40%,60%,22%,78%,22%,78%,21%,79%,14%,86%,7%,93%,46%,54%,67%,33%,74%,26%,66%,34%,64%,36%,61%,39%,91%,9%,82%,18%,15%,85%,16%,84%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M188,P.S. 188 THE ISLAND SCHOOL,66%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,0%,100%,1%,99%,0%,100%,0%,100%,0%,100%,1%,99%,1%,99%,0%,100%,0%,100%,0%,100%,0%,100%,1%,99%,0%,100%,1%,99%,1%,99%,0%,100%,0%,100%,0%,100%,0%,100%,98%,2%,98%,2%,98%,2%,98%,2%,97%,3%,94%,6%,98%,2%,98%,2%,0%,100%,0%,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M292,ORCHARD COLLEGIATE ACADEMY,82%,19%,81%,14%,86%,18%,82%,29%,71%,4%,96%,9%,91%,2%,98%,3%,97%,3%,97%,16%,84%,5%,95%,34%,66%,16%,84%,18%,82%,35%,65%,15%,85%,34%,66%,39%,61%,25%,75%,29%,71%,44%,56%,11%,89%,11%,89%,17%,83%,28%,72%,6%,94%,18%,82%,17%,83%,22%,78%,9%,91%,57%,43%,42%,58%,49%,51%,41%,59%,18%,82%,32%,68%,32%,68%,34%,66%,34%,66%,50%,50%,36%,64%,29%,71%,50%,50%,23%,77%,10%,90%,5%,95%,4%,96%,3%,97%,78%,22%,83%,17%,84%,16%,77%,23%,78%,22%,81%,19%,87%,13%,89%,11%,N/A,N/A,N/A,N/A,6%,94%,4%,96%,8%,92%,6%,94%,9%,91%,12%,88%
01M332,UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL,92%,15%,85%,15%,85%,44%,56%,60%,40%,4%,96%,14%,86%,7%,93%,15%,85%,6%,94%,24%,76%,7%,93%,38%,62%,15%,85%,26%,74%,43%,57%,20%,80%,28%,72%,39%,61%,29%,71%,32%,68%,46%,54%,11%,89%,15%,85%,25%,75%,42%,58%,15%,85%,26%,74%,30%,70%,38%,62%,16%,84%,37%,63%,33%,67%,42%,58%,38%,62%,22%,78%,50%,50%,52%,48%,52%,48%,46%,54%,67%,33%,42%,58%,46%,54%,59%,41%,35%,65%,17%,83%,8%,92%,18%,82%,15%,85%,45%,55%,68%,32%,58%,42%,52%,48%,52%,48%,39%,61%,90%,10%,87%,13%,3%,97%,8%,92%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M378,SCHOOL FOR GLOBAL LEADERS,77%,8%,92%,5%,95%,26%,74%,27%,73%,4%,96%,9%,91%,5%,95%,4%,96%,1%,99%,10%,90%,3%,97%,13%,87%,5%,95%,6%,94%,22%,78%,10%,90%,10%,90%,14%,86%,10%,90%,13%,87%,16%,84%,4%,96%,8%,92%,9%,91%,18%,82%,5%,95%,10%,90%,10%,90%,16%,84%,10%,90%,18%,82%,20%,80%,20%,80%,20%,80%,7%,93%,22%,78%,20%,80%,19%,81%,15%,85%,30%,70%,20%,80%,19%,81%,25%,75%,13%,87%,8%,92%,7%,93%,8%,92%,3%,97%,71%,29%,84%,16%,87%,13%,80%,20%,80%,20%,69%,31%,92%,8%,90%,10%,6%,94%,5%,95%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,94%,14%,86%,8%,92%,11%,89%,15%,85%,5%,95%,9%,91%,5%,95%,4%,96%,2%,98%,15%,85%,3%,97%,28%,72%,10%,90%,13%,87%,26%,74%,14%,86%,23%,77%,34%,66%,23%,77%,25%,75%,43%,57%,7%,93%,13%,87%,9%,91%,16%,84%,4%,96%,10%,90%,12%,88%,12%,88%,7%,93%,42%,58%,38%,62%,47%,53%,35%,65%,16%,84%,23%,77%,21%,79%,24%,76%,22%,78%,38%,62%,27%,73%,21%,79%,34%,66%,23%,77%,9%,91%,8%,92%,5%,95%,2%,98%,83%,17%,87%,13%,88%,12%,88%,13%,87%,13%,90%,10%,89%,11%,91%,9%,N/A,N/A,N/A,N/A,12%,88%,4%,96%,8%,92%,11%,89%,12%,88%,11%,89%
