dbn,score,travel_time,geom
16K498,3.89,57.8,POINT (-73.9209060000000022 40.6888310000000004)
17K524,4.11,28.15,POINT (-73.9616950000000060 40.6703490000000016)
02M531,3.99,57.36666666666667,POINT (-73.9843819999999965 40.7558429999999987)
05M670,3.27,76.33333333333333,POINT (-73.9442020000000042 40.8155089999999987)
03M291,4.66,69.41666666666667,POINT (-73.9874789999999933 40.7720070000000021)
24Q299,4.49,66.78333333333333,POINT (-73.9366349999999954 40.7450949999999992)
17K408,4.47,37.1,POINT (-73.9585500000000025 40.6497870000000034)
19K683,3.52,56.45,POINT (-73.8742079999999959 40.6707239999999999)
02M407,3.59,59.46666666666667,POINT (-73.9830309999999969 40.7324470000000005)
27Q302,4.19,91.06666666666666,POINT (-73.7627949999999970 40.6020099999999999)
12X251,3.83,82.31666666666666,POINT (-73.8904579999999953 40.8359000000000023)
03M485,3.17,69.55,POINT (-73.9852730000000065 40.7736289999999997)
15K429,3.27,40.96666666666667,POINT (-73.9933510000000041 40.6854190000000031)
21K559,4.03,74.4,POINT (-73.9857700000000023 40.5942909999999983)
24Q560,3.16,69.63333333333334,POINT (-73.9367819999999938 40.7428389999999965)
11X290,2.97,100.55,POINT (-73.8619699999999995 40.8759530000000026)
09X250,2.88,92.05,POINT (-73.9024990000000059 40.8336650000000034)
03M417,3.59,68.18333333333334,POINT (-73.9746140000000025 40.7858030000000014)
17K547,3.48,28.15,POINT (-73.9616950000000060 40.6703490000000016)
02M437,3.14,60.06666666666667,POINT (-74.0021359999999930 40.7428669999999968)
27Q323,2.3,81.21666666666667,POINT (-73.8257109999999983 40.5841089999999980)
11X545,2.76,100.55,POINT (-73.8619699999999995 40.8759530000000026)
28Q687,4.33,85.63333333333334,POINT (-73.7981510000000043 40.7010489999999976)
17K528,3.3,28.15,POINT (-73.9616950000000060 40.6703490000000016)
17K751,3.2,58.833333333333336,POINT (-73.9388430000000056 40.6756120000000010)
18K576,2.93,42.483333333333334,POINT (-73.9167350000000027 40.6332850000000008)
19K404,3.03,62.06666666666667,POINT (-73.8747560000000050 40.6574590000000029)
15K684,4.01,43.96666666666667,POINT (-73.9792869999999994 40.6696290000000005)
31R445,3.93,86.15,POINT (-74.1418180000000007 40.6345730000000032)
23K514,4.7,51.86666666666667,POINT (-73.9117049999999978 40.6658779999999993)
15K497,4.58,40.96666666666667,POINT (-73.9933510000000041 40.6854190000000031)
02M294,4.56,46.43333333333333,POINT (-73.9893370000000061 40.7167779999999979)
05M304,4.6,67.38333333333334,POINT (-73.9477119999999957 40.8173719999999989)
02M413,4.79,53.28333333333333,POINT (-73.9854789999999980 40.7389519999999976)
04M372,4.78,77.06666666666666,POINT (-73.9423029999999954 40.7930700000000002)
07X334,3.19,70.68333333333334,POINT (-73.9177920000000057 40.8100400000000008)
02M655,4.01,66.88333333333334,POINT (-73.9456370000000049 40.7836250000000007)
31R450,2.91,105.58333333333333,POINT (-74.0812219999999968 40.6447349999999972)
18K637,3.27,42.483333333333334,POINT (-73.9167350000000027 40.6332850000000008)
21K410,2.84,51.733333333333334,POINT (-73.9673080000000027 40.5816810000000032)
09X543,3.5,86.56666666666666,POINT (-73.9044729999999959 40.8276419999999973)
02M303,2.83,72.38333333333334,POINT (-73.9929530000000000 40.7651839999999979)
08X558,3.39,95.9,POINT (-73.8385449999999963 40.8407020000000003)
02M412,4.9,50.7,POINT (-74.0021980000000070 40.7421289999999985)
04M495,2.65,75.25,POINT (-73.9443559999999991 40.7905429999999996)
02M047,3.3,55.06666666666667,POINT (-73.9824550000000016 40.7385480000000015)
07X600,4.83,77.36666666666666,POINT (-73.9198669999999964 40.8182320000000018)
14K449,3.53,67.21666666666667,POINT (-73.9436409999999995 40.7099410000000006)
09X404,3.89,86.56666666666666,POINT (-73.9044729999999959 40.8276419999999973)
06M540,4.25,78.43333333333334,POINT (-73.9503559999999993 40.8181879999999992)
26Q495,4.16,117.13333333333334,POINT (-73.7802960000000070 40.7717549999999989)
02M425,2.42,42.13333333333333,POINT (-74.0123320000000007 40.7087300000000027)
10X565,2.56,95.08333333333333,POINT (-73.8827150000000046 40.8556979999999967)
11X249,4.42,103.06666666666666,POINT (-73.8339040000000040 40.8740910000000000)
21K468,3.07,74.4,POINT (-73.9857700000000023 40.5942909999999983)
02M135,3.5,51.516666666666666,POINT (-74.0008509999999973 40.7114419999999981)
32K403,4.51,65.31666666666666,POINT (-73.9107910000000032 40.6969700000000003)
02M420,3.28,59.46666666666667,POINT (-73.9830309999999969 40.7324470000000005)
